2.755637,-1.460464,-0.235185,2.509944,3.994209,-1.593288,6.314221,-2.921788,0.148668,2.716248,-1.643906,1.521824,0.362362
2.725548,-1.459403,-0.240459,2.491992,3.776181,-1.565894,5.964066,-3.023251,0.156494,2.722600,-1.650977,1.530939,0.349777
2.724157,-1.474732,-0.230656,2.491398,3.814061,-1.564512,5.957528,-2.999077,0.146138,2.712689,-1.635240,1.519009,0.355838
2.717781,-1.495656,-0.254795,2.415061,4.002963,-1.583360,6.044808,-2.968321,0.157775,2.687909,-1.646753,1.495559,0.360237
2.713961,-1.498864,-0.243417,2.466373,3.804759,-1.566119,6.006720,-2.930718,0.142783,2.705467,-1.651543,1.486273,0.359047
2.715958,-1.509785,-0.239403,2.434267,3.803226,-1.557062,6.154862,-2.867256,0.136968,2.716132,-1.650519,1.495835,0.354750
2.717611,-1.468821,-0.252711,2.477731,3.846745,-1.605155,6.418668,-2.835296,0.161924,2.707982,-1.653598,1.517355,0.355748
2.745714,-1.465126,-0.235202,2.464643,3.872086,-1.572318,6.476429,-2.910032,0.153892,2.736860,-1.655808,1.491368,0.363546
2.701827,-1.422971,-0.246568,2.438109,4.000035,-1.541109,6.492283,-2.877115,0.140831,2.737237,-1.647194,1.514538,0.363420
2.720479,-1.455268,-0.235647,2.465125,3.682116,-1.566209,6.387253,-2.944737,0.148189,2.704409,-1.630302,1.513083,0.360354
2.709214,-1.457086,-0.248699,2.456842,3.730877,-1.558180,6.241733,-2.924193,0.153830,2.695200,-1.656953,1.510480,0.358986
2.734953,-1.412295,-0.235465,2.434134,3.915260,-1.600477,6.040245,-2.918276,0.167451,2.700075,-1.651649,1.504468,0.354270
2.743959,-1.496418,-0.252567,2.445552,3.745374,-1.531577,6.314092,-2.911694,0.137065,2.722319,-1.653036,1.488302,0.364788
2.729125,-1.447816,-0.240581,2.476673,3.729281,-1.594497,6.262112,-2.949335,0.142606,2.704124,-1.644916,1.501612,0.350228
2.711528,-1.524195,-0.238075,2.417566,3.681592,-1.571433,5.986295,-2.850204,0.136368,2.714238,-1.645369,1.492512,0.361012
2.720176,-1.451437,-0.236454,2.508077,3.938351,-1.580378,6.083370,-2.868935,0.156511,2.719461,-1.657956,1.505297,0.353846
2.728447,-1.472569,-0.235746,2.463702,3.880475,-1.582443,5.946531,-2.932717,0.149560,2.715808,-1.627030,1.505096,0.352608
2.716981,-1.481446,-0.239250,2.419038,3.804416,-1.569218,6.174890,-2.940628,0.147276,2.690567,-1.648991,1.499501,0.360402
2.702138,-1.451208,-0.230969,2.406317,3.842600,-1.558170,6.006115,-2.932177,0.148362,2.706332,-1.647521,1.486835,0.364585
2.743098,-1.489943,-0.255174,2.468602,3.737195,-1.569527,6.067854,-2.886177,0.156919,2.700344,-1.656092,1.487875,0.361506
2.701539,-1.482496,-0.248061,2.454813,3.594085,-1.568533,6.231505,-2.911658,0.146521,2.711864,-1.641872,1.474577,0.369150
2.730466,-1.486033,-0.246382,2.467945,3.785549,-1.615652,6.530504,-2.920063,0.160284,2.700813,-1.632798,1.508769,0.361498
