0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34,75,111,154,201,242,271,316,359,400,435,469,508,553,589,635,682,735,779,813,852,891,933,981,1021,1063,1106,1147,1181,1225
0,-37,-72,-104,-137,-136,-141,-144,-146,-147,-147,-147,-148,-148,-148,-149,-149,-150,-150,-151,-151,-152,-152,-153,-153,-154,-154,-155,-155,-156,-156
0,-32,-63,-99,-141,-174,-210,-249,-288,-319,-366,-406,-444,-479,-518,-560,-599,-638,-673,-706,-727,-766,-805,-836,-877,-914,-970,-1023,-1058,-1103,-1145
0,29,58,86,113,120,124,127,129,129,130,130,131,131,131,132,132,133,133,133,134,134,135,135,136,136,137,137,137,138,138
0,39,79,115,150,191,223,260,293,345,387,424,467,496,534,575,612,648,685,725,758,807,854,887,923,963,997,1036,1083,1130,1171
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-37,-78,-120,-153,-196,-243,-284,-330,-356,-395,-454,-490,-538,-574,-609,-656,-690,-727,-768,-797,-838,-870,-908,-939,-985,-1024,-1055,-1093,-1137,-1178
0,1,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0
